"LOCATION","VAR","TIME","Value"
"CZE","BB-P100-CAB",2016,5.331
"CZE","BB-P100-CAB",2017,5.564
"CZE","BB-P100-CAB",2018,5.615
"CZE","BB-P100-CAB",2019,5.659
"DNK","BB-P100-CAB",2016,12.843
"DNK","BB-P100-CAB",2017,13.805
"DNK","BB-P100-CAB",2018,14.368
"DNK","BB-P100-CAB",2019,14.577
"FIN","BB-P100-CAB",2016,7.497
"FIN","BB-P100-CAB",2017,7.462
"FIN","BB-P100-CAB",2018,7.868
"FIN","BB-P100-CAB",2019,8.295
"FRA","BB-P100-CAB",2016,5.192
"FRA","BB-P100-CAB",2017,5.756
"FRA","BB-P100-CAB",2018,6.363
"FRA","BB-P100-CAB",2019,6.548
"DEU","BB-P100-CAB",2016,8.7
"DEU","BB-P100-CAB",2017,9.331
"DEU","BB-P100-CAB",2018,9.626
"DEU","BB-P100-CAB",2019,9.996
"HUN","BB-P100-CAB",2016,14.035
"HUN","BB-P100-CAB",2017,14.779
"HUN","BB-P100-CAB",2018,15.478
"HUN","BB-P100-CAB",2019,15.969
"ISL","BB-P100-CAB",2019,0.27
"IRL","BB-P100-CAB",2016,7.722
"IRL","BB-P100-CAB",2017,7.778
"IRL","BB-P100-CAB",2018,7.671
"IRL","BB-P100-CAB",2019,7.54
"JPN","BB-P100-CAB",2016,5.397
"JPN","BB-P100-CAB",2017,5.439
"JPN","BB-P100-CAB",2018,5.432
"JPN","BB-P100-CAB",2019,5.355
"KOR","BB-P100-CAB",2016,7.809
"KOR","BB-P100-CAB",2017,7.502
"KOR","BB-P100-CAB",2018,6.745
"KOR","BB-P100-CAB",2019,6.12
"LUX","BB-P100-CAB",2016,3.732
"LUX","BB-P100-CAB",2017,3.702
"LUX","BB-P100-CAB",2018,3.663
"LUX","BB-P100-CAB",2019,3.604
"MEX","BB-P100-CAB",2016,4.541
"MEX","BB-P100-CAB",2017,5.06
"MEX","BB-P100-CAB",2018,5.607
"MEX","BB-P100-CAB",2019,5.999
"NLD","BB-P100-CAB",2016,19.624
"NLD","BB-P100-CAB",2017,19.847
"NLD","BB-P100-CAB",2018,20.143
"NLD","BB-P100-CAB",2019,20.26
"NZL","BB-P100-CAB",2016,1.408
"NZL","BB-P100-CAB",2017,1.421
"NZL","BB-P100-CAB",2018,1.296
"NZL","BB-P100-CAB",2019,1.114
"NOR","BB-P100-CAB",2016,12.15
"NOR","BB-P100-CAB",2017,11.816
"NOR","BB-P100-CAB",2018,11.423
"NOR","BB-P100-CAB",2019,11.183
"POL","BB-P100-CAB",2016,7.036
"POL","BB-P100-CAB",2017,7.15
"POL","BB-P100-CAB",2018,7.329
"POL","BB-P100-CAB",2019,7.411
"PRT","BB-P100-CAB",2016,10.83
"PRT","BB-P100-CAB",2017,11.327
"PRT","BB-P100-CAB",2018,11.483
"PRT","BB-P100-CAB",2019,11.636
"SVK","BB-P100-CAB",2016,3.045
"SVK","BB-P100-CAB",2017,3.129
"SVK","BB-P100-CAB",2018,3.388
"SVK","BB-P100-CAB",2019,3.248
"ESP","BB-P100-CAB",2016,5.776
"ESP","BB-P100-CAB",2017,5.653
"ESP","BB-P100-CAB",2018,5.117
"ESP","BB-P100-CAB",2019,4.798
"SWE","BB-P100-CAB",2016,6.814
"SWE","BB-P100-CAB",2017,6.79
"SWE","BB-P100-CAB",2018,6.636
"SWE","BB-P100-CAB",2019,6.484
"CHE","BB-P100-CAB",2016,14.858
"CHE","BB-P100-CAB",2017,14.891
"CHE","BB-P100-CAB",2018,13.286
"CHE","BB-P100-CAB",2019,12.644
"TUR","BB-P100-CAB",2016,0.93
"TUR","BB-P100-CAB",2017,1.029
"TUR","BB-P100-CAB",2018,1.145
"TUR","BB-P100-CAB",2019,1.318
"GBR","BB-P100-CAB",2016,7.5
"GBR","BB-P100-CAB",2017,7.738
"GBR","BB-P100-CAB",2018,7.865
"GBR","BB-P100-CAB",2019,7.895
"USA","BB-P100-CAB",2016,19.586
"USA","BB-P100-CAB",2017,20.342
"USA","BB-P100-CAB",2018,21.029
"USA","BB-P100-CAB",2019,22.035
"AUS","BB-P100-OTH",2016,0.004
"AUT","BB-P100-OTH",2016,0.006
"AUT","BB-P100-OTH",2017,0.006
"AUT","BB-P100-OTH",2018,0.006
"AUT","BB-P100-OTH",2019,0.007
"BEL","BB-P100-OTH",2016,0.05
"BEL","BB-P100-OTH",2017,0.055
"BEL","BB-P100-OTH",2018,0.039
"BEL","BB-P100-OTH",2019,0.113
"CAN","BB-P100-OTH",2016,0.009
"CAN","BB-P100-OTH",2017,0.005
"CAN","BB-P100-OTH",2018,0.005
"CAN","BB-P100-OTH",2019,0.004
"DNK","BB-P100-OTH",2016,0.455
"DNK","BB-P100-OTH",2017,0.467
"DNK","BB-P100-OTH",2018,0.433
"DNK","BB-P100-OTH",2019,0.432
"FIN","BB-P100-OTH",2016,0.091
"FIN","BB-P100-OTH",2017,0.163
"FIN","BB-P100-OTH",2018,0.127
"FIN","BB-P100-OTH",2019,0.199
"DEU","BB-P100-OTH",2016,0.047
"DEU","BB-P100-OTH",2017,0.047
"DEU","BB-P100-OTH",2018,0.054
"DEU","BB-P100-OTH",2019,0.054
"ITA","BB-P100-OTH",2016,3.413
"ITA","BB-P100-OTH",2017,6.725
"ITA","BB-P100-OTH",2018,10.587
"ITA","BB-P100-OTH",2019,12.809
"LUX","BB-P100-OTH",2016,0.171
"LUX","BB-P100-OTH",2017,0.286
"LUX","BB-P100-OTH",2018,0.164
"LUX","BB-P100-OTH",2019,0.177
"MEX","BB-P100-OTH",2016,0.004
"MEX","BB-P100-OTH",2017,0.153
"MEX","BB-P100-OTH",2018,0.302
"MEX","BB-P100-OTH",2019,0.176
"NOR","BB-P100-OTH",2016,0.02
"NOR","BB-P100-OTH",2017,0.024
"NOR","BB-P100-OTH",2018,0.027
"NOR","BB-P100-OTH",2019,0.029
"POL","BB-P100-OTH",2016,1.228
"POL","BB-P100-OTH",2017,1.242
"POL","BB-P100-OTH",2018,1.113
"POL","BB-P100-OTH",2019,1.166
"PRT","BB-P100-OTH",2016,0.03
"PRT","BB-P100-OTH",2017,0.03
"PRT","BB-P100-OTH",2018,0.035
"PRT","BB-P100-OTH",2019,0.042
"SVK","BB-P100-OTH",2016,0.097
"SVK","BB-P100-OTH",2017,0.349
"SVK","BB-P100-OTH",2018,1.355
"SVK","BB-P100-OTH",2019,2.207
"ESP","BB-P100-OTH",2016,0.003
"ESP","BB-P100-OTH",2017,0.003
"ESP","BB-P100-OTH",2018,0.004
"ESP","BB-P100-OTH",2019,0.001
"SWE","BB-P100-OTH",2016,0.069
"SWE","BB-P100-OTH",2017,0.071
"SWE","BB-P100-OTH",2018,0.072
"SWE","BB-P100-OTH",2019,0.071
"CHE","BB-P100-OTH",2016,0.622
"CHE","BB-P100-OTH",2017,0.744
"CHE","BB-P100-OTH",2018,0.741
"CHE","BB-P100-OTH",2019,0.758
"TUR","BB-P100-OTH",2016,0.077
"TUR","BB-P100-OTH",2017,0.118
"TUR","BB-P100-OTH",2018,0.211
"TUR","BB-P100-OTH",2019,0.317
"USA","BB-P100-OTH",2016,0.202
"USA","BB-P100-OTH",2017,0.193
"USA","BB-P100-OTH",2018,0.183
"USA","BB-P100-OTH",2019,0.159
"AUS","BB-P100-FIB",2016,4.216
"AUS","BB-P100-FIB",2017,6.12
"AUS","BB-P100-FIB",2018,6.553
"AUS","BB-P100-FIB",2019,6.908
"AUT","BB-P100-FIB",2016,0.468
"AUT","BB-P100-FIB",2017,0.591
"AUT","BB-P100-FIB",2018,0.711
"AUT","BB-P100-FIB",2019,0.848
"BEL","BB-P100-FIB",2016,0.113
"BEL","BB-P100-FIB",2017,0.152
"BEL","BB-P100-FIB",2018,0.284
"BEL","BB-P100-FIB",2019,0.417
"CAN","BB-P100-FIB",2016,3.697
"CAN","BB-P100-FIB",2017,4.679
"CAN","BB-P100-FIB",2018,5.58
"CAN","BB-P100-FIB",2019,7.02
"CZE","BB-P100-FIB",2016,4.946
"CZE","BB-P100-FIB",2017,5.379
"CZE","BB-P100-FIB",2018,5.857
"CZE","BB-P100-FIB",2019,6.142
"DNK","BB-P100-FIB",2016,11.014
"DNK","BB-P100-FIB",2017,12.246
"DNK","BB-P100-FIB",2018,13.695
"DNK","BB-P100-FIB",2019,15.264
"FIN","BB-P100-FIB",2016,12.72
"FIN","BB-P100-FIB",2017,14.215
"FIN","BB-P100-FIB",2018,16.098
"FIN","BB-P100-FIB",2019,17.694
"FRA","BB-P100-FIB",2016,3.24
"FRA","BB-P100-FIB",2017,5.376
"FRA","BB-P100-FIB",2018,7.136
"FRA","BB-P100-FIB",2019,10.469
"DEU","BB-P100-FIB",2016,0.699
"DEU","BB-P100-FIB",2017,0.917
"DEU","BB-P100-FIB",2018,1.312
"DEU","BB-P100-FIB",2019,1.719
"GRC","BB-P100-FIB",2016,0.058
"GRC","BB-P100-FIB",2017,0.063
"GRC","BB-P100-FIB",2018,0.057
"GRC","BB-P100-FIB",2019,0.074
"HUN","BB-P100-FIB",2016,5.275
"HUN","BB-P100-FIB",2017,6.263
"HUN","BB-P100-FIB",2018,7.437
"HUN","BB-P100-FIB",2019,8.69
"ISL","BB-P100-FIB",2016,12.627
"ISL","BB-P100-FIB",2017,16.497
"ISL","BB-P100-FIB",2018,20.486
"ISL","BB-P100-FIB",2019,23.993
"IRL","BB-P100-FIB",2016,0.161
"IRL","BB-P100-FIB",2017,0.825
"IRL","BB-P100-FIB",2018,1.865
"IRL","BB-P100-FIB",2019,3.295
"ITA","BB-P100-FIB",2016,0.723
"ITA","BB-P100-FIB",2017,0.94
"ITA","BB-P100-FIB",2018,1.43
"ITA","BB-P100-FIB",2019,2.031
"JPN","BB-P100-FIB",2016,22.956
"JPN","BB-P100-FIB",2017,23.949
"JPN","BB-P100-FIB",2018,24.811
"JPN","BB-P100-FIB",2019,25.959
"KOR","BB-P100-FIB",2016,29.642
"KOR","BB-P100-FIB",2017,31.543
"KOR","BB-P100-FIB",2018,33.151
"KOR","BB-P100-FIB",2019,34.994
"LUX","BB-P100-FIB",2016,6.951
"LUX","BB-P100-FIB",2017,9.916
"LUX","BB-P100-FIB",2018,12.845
"LUX","BB-P100-FIB",2019,15.623
"MEX","BB-P100-FIB",2016,2.08
"MEX","BB-P100-FIB",2017,2.537
"MEX","BB-P100-FIB",2018,2.986
"MEX","BB-P100-FIB",2019,3.774
"NLD","BB-P100-FIB",2016,6.171
"NLD","BB-P100-FIB",2017,6.777
"NLD","BB-P100-FIB",2018,7.434
"NLD","BB-P100-FIB",2019,7.994
"NZL","BB-P100-FIB",2016,7.023
"NZL","BB-P100-FIB",2017,10.624
"NZL","BB-P100-FIB",2018,14.73
"NZL","BB-P100-FIB",2019,18.734
"NOR","BB-P100-FIB",2016,15.267
"NOR","BB-P100-FIB",2017,17.76
"NOR","BB-P100-FIB",2018,20.098
"NOR","BB-P100-FIB",2019,22.853
"POL","BB-P100-FIB",2016,1.498
"POL","BB-P100-FIB",2017,1.968
"POL","BB-P100-FIB",2018,4.139
"POL","BB-P100-FIB",2019,4.944
"PRT","BB-P100-FIB",2016,10.55
"PRT","BB-P100-FIB",2017,13.411
"PRT","BB-P100-FIB",2018,16.635
"PRT","BB-P100-FIB",2019,19.542
"SVK","BB-P100-FIB",2016,7.039
"SVK","BB-P100-FIB",2017,7.57
"SVK","BB-P100-FIB",2018,8.438
"SVK","BB-P100-FIB",2019,9.463
"ESP","BB-P100-FIB",2016,10.658
"ESP","BB-P100-FIB",2017,14.208
"ESP","BB-P100-FIB",2018,18.401
"ESP","BB-P100-FIB",2019,21.711
"SWE","BB-P100-FIB",2016,20.452
"SWE","BB-P100-FIB",2017,23.758
"SWE","BB-P100-FIB",2018,26.143
"SWE","BB-P100-FIB",2019,27.971
"CHE","BB-P100-FIB",2016,5.364
"CHE","BB-P100-FIB",2017,7.032
"CHE","BB-P100-FIB",2018,8.46
"CHE","BB-P100-FIB",2019,9.36
"TUR","BB-P100-FIB",2016,2.43
"TUR","BB-P100-FIB",2017,2.909
"TUR","BB-P100-FIB",2018,3.44
"TUR","BB-P100-FIB",2019,3.906
"GBR","BB-P100-FIB",2016,0.292
"GBR","BB-P100-FIB",2017,0.479
"GBR","BB-P100-FIB",2018,0.769
"GBR","BB-P100-FIB",2019,1.173
"USA","BB-P100-FIB",2016,3.728
"USA","BB-P100-FIB",2017,4.296
"USA","BB-P100-FIB",2018,4.893
"USA","BB-P100-FIB",2019,5.483
"CHL","BB-P100-TOT",2016,15.891
"CHL","BB-P100-TOT",2017,16.533
"CHL","BB-P100-TOT",2018,17.318
"CHL","BB-P100-TOT",2019,18.013
"CHL","BB-P100-DSL",2016,4.553
"CHL","BB-P100-DSL",2017,4.157
"CHL","BB-P100-DSL",2018,3.123
"CHL","BB-P100-DSL",2019,2.115
"CHL","BB-P100-CAB",2016,8.578
"CHL","BB-P100-CAB",2017,9.086
"CHL","BB-P100-CAB",2018,9.498
"CHL","BB-P100-CAB",2019,9.599
"CHL","BB-P100-OTH",2016,1.074
"CHL","BB-P100-OTH",2017,1.052
"CHL","BB-P100-OTH",2018,0.894
"CHL","BB-P100-OTH",2019,0.59
"CHL","BB-P100-FIB",2016,1.604
"CHL","BB-P100-FIB",2017,2.169
"CHL","BB-P100-FIB",2018,3.744
"CHL","BB-P100-FIB",2019,5.028
"EST","BB-P100-TOT",2016,30.139
"EST","BB-P100-TOT",2017,31.186
"EST","BB-P100-TOT",2018,31.964
"EST","BB-P100-TOT",2019,32.552
"EST","BB-P100-DSL",2016,10.51
"EST","BB-P100-DSL",2017,10.323
"EST","BB-P100-DSL",2018,9.677
"EST","BB-P100-DSL",2019,8.578
"EST","BB-P100-CAB",2016,7.113
"EST","BB-P100-CAB",2017,7.411
"EST","BB-P100-CAB",2018,7.448
"EST","BB-P100-CAB",2019,7.161
"EST","BB-P100-OTH",2016,0.517
"EST","BB-P100-OTH",2017,0.272
"EST","BB-P100-OTH",2018,0.276
"EST","BB-P100-OTH",2019,0.298
"EST","BB-P100-FIB",2016,10.503
"EST","BB-P100-FIB",2017,11.384
"EST","BB-P100-FIB",2018,12.272
"EST","BB-P100-FIB",2019,13.892
"ISR","BB-P100-TOT",2016,26.489
"ISR","BB-P100-TOT",2017,27.555
"ISR","BB-P100-TOT",2018,27.413
"ISR","BB-P100-TOT",2019,27.414
"ISR","BB-P100-DSL",2016,18.236
"ISR","BB-P100-DSL",2017,27.555
"ISR","BB-P100-DSL",2018,18.647
"ISR","BB-P100-DSL",2019,17.407
"ISR","BB-P100-CAB",2016,8.205
"ISR","BB-P100-CAB",2017,0
"ISR","BB-P100-CAB",2018,8.22
"ISR","BB-P100-CAB",2019,8.512
"ISR","BB-P100-FIB",2016,0.047
"ISR","BB-P100-FIB",2018,0.547
"ISR","BB-P100-FIB",2019,1.495
"SVN","BB-P100-TOT",2016,28.309
"SVN","BB-P100-TOT",2017,28.917
"SVN","BB-P100-TOT",2018,29.361
"SVN","BB-P100-TOT",2019,29.828
"SVN","BB-P100-DSL",2016,11.196
"SVN","BB-P100-DSL",2017,10.347
"SVN","BB-P100-DSL",2018,9.662
"SVN","BB-P100-DSL",2019,8.997
"SVN","BB-P100-CAB",2016,8.543
"SVN","BB-P100-CAB",2017,8.606
"SVN","BB-P100-CAB",2018,8.485
"SVN","BB-P100-CAB",2019,8.351
"SVN","BB-P100-OTH",2016,0.1
"SVN","BB-P100-OTH",2017,0.135
"SVN","BB-P100-OTH",2018,0.137
"SVN","BB-P100-OTH",2019,0.131
"SVN","BB-P100-FIB",2016,8.147
"SVN","BB-P100-FIB",2017,9.476
"SVN","BB-P100-FIB",2018,10.739
"SVN","BB-P100-FIB",2019,12.038
"AUS","BB-SUBS-TOT",2016,7374000
"AUS","BB-SUBS-TOT",2017,7922000
"AUS","BB-SUBS-TOT",2018,8427316
"AUS","BB-SUBS-TOT",2019,8752830
"AUS","BB-SUBS-CAB",2016,1048000
"AUS","BB-SUBS-CAB",2017,924000
"AUS","BB-SUBS-CAB",2018,1512027
"AUS","BB-SUBS-CAB",2019,1915050
"AUS","BB-SUBS-DSL",2016,5127220
"AUS","BB-SUBS-DSL",2017,5173445
"AUS","BB-SUBS-DSL",2018,4869032
"AUS","BB-SUBS-DSL",2019,4654408
"AUS","BB-SUBS-FIB",2016,1019780
"AUS","BB-SUBS-FIB",2017,1505555
"AUS","BB-SUBS-FIB",2018,1637826
"AUS","BB-SUBS-FIB",2019,1752709
"AUS","BB-SUBS-OTH",2016,1000
