"LOCATION","Pays","VAR","Variable","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,41.979,,
"FRA","France","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,42.884,,
"FRA","France","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,43.257,,
"FRA","France","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,42.746,,
"FRA","France","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,43.257,,
"FRA","France","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,44.119,,
"FRA","France","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,43.671,,
"FRA","France","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,44.119,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,38.698,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,38.411,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,38.698,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,40.205,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,39.502,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,40.205,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,41.194,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,40.683,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,41.194,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,42.212,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,41.706,,
"DEU","Allemagne","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,42.212,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,33.563,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,32.541,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,33.563,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,35.291,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,34.214,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,35.291,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,36.939,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,36.122,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,36.939,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,38.653,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,37.661,,
"GRC","Grèce","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,38.653,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,28.679,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,28.095,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,28.679,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,30.206,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,29.299,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,30.206,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,31.502,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,30.652,,
